date,capacity,turnover,open,high,low,close,change,transaction
2020-02-13,206439,2178159,10.55,10.6,10.5,10.55,0.0,56
2020-02-14,143150,1515290,10.55,10.65,10.55,10.65,0.1,38
2020-02-17,76814,811746,10.65,10.65,10.55,10.55,-0.1,41
2020-02-18,57001,601810,10.6,10.6,10.55,10.55,0.0,18
2020-02-19,125374,1323075,10.55,10.6,10.55,10.55,0.0,32
2020-02-20,184541,1947256,10.55,10.6,10.55,10.6,0.05,45
2020-02-21,76000,803500,10.6,10.6,10.55,10.6,0.0,34
2020-02-24,113719,1204834,10.6,10.65,10.55,10.6,0.0,53
2020-02-25,242000,2548450,10.55,10.6,10.5,10.55,-0.05,70
2020-02-26,241000,2528150,10.5,10.55,10.45,10.55,0.0,56
2020-02-27,144352,1517695,10.55,10.6,10.5,10.55,0.0,57
2020-03-02,218287,2294163,10.55,10.6,10.4,10.6,0.05,83
2020-03-03,44148,465645,10.6,10.6,10.5,10.5,-0.1,25
2020-03-04,82064,863922,10.5,10.6,10.5,10.55,0.05,44
2020-03-05,104000,1095250,10.5,10.55,10.5,10.55,0.0,38
2020-03-06,132816,1394335,10.5,10.55,10.45,10.5,-0.05,31
2020-03-09,238616,2478093,10.5,10.5,10.3,10.4,-0.1,103
2020-03-10,121238,1248650,10.35,10.35,10.25,10.35,-0.05,44
2020-03-11,120000,1237100,10.4,10.4,10.25,10.4,0.05,37
2020-03-12,393439,3961897,10.3,10.3,9.98,10.0,-0.4,112
2020-03-13,1147996,10625540,9.13,10.0,9.0,10.0,0.0,188
2020-03-16,1034010,9724517,10.0,10.0,9.0,9.74,-0.26,136
2020-03-17,362310,3329014,9.03,9.5,9.03,9.5,-0.24,126
2020-03-18,515207,4717341,9.4,9.4,9.09,9.33,-0.17,128
2020-03-19,834407,7490976,9.0,9.2,8.83,9.2,-0.13,157
2020-03-20,197099,1818533,9.07,9.38,9.07,9.27,0.07,82
2020-03-23,511842,4599666,9.0,9.02,8.86,9.02,-0.25,73
2020-03-24,155131,1411682,9.33,9.49,9.03,9.15,0.13,55
2020-03-25,146016,1352177,9.21,9.35,9.19,9.3,0.15,51
2020-03-26,115000,1082240,9.35,9.7,9.34,9.51,0.21,53
2020-03-27,239000,2275890,9.86,9.86,9.41,9.64,0.13,77
