年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,1.43,8.54,25.24
2020Q2,10.35,9.16,43.33
2020Q1,35.08,0.72,-22.92
2019Q4,1074.04,19.18,78.29
2019Q3,713.76,13.58,73.61
2019Q2,-27.9,7.12,124.71
2019Q1,103.48,5.79,189.81
2018Q4,-90.05,-5.48,-40.04
2018Q3,-63.78,3.53,-26.75
2018Q2,182281.82,16.48,14.68
2018Q1,-47.77,5.22,-41.01
2017Q4,7.56,10.6,11.16
2017Q3,798.4,22.91,484.11
2017Q2,-99.94,4.35,-54.52
2017Q1,765.45,14.2,401.94
2016Q4,23.97,14.25,61.33
2016Q3,-94.31,-19.72,-81.63
2016Q2,56.58,9.75,27.91
2016Q1,-78.48,-3.06,-25.35
2015Q4,109.89,-8.44,27.07
2015Q3,573.62,12.93,41.05
2015Q2,-81.51,-28.56,-66.85
2015Q1,95.84,3.46,-57.52
2014Q4,-57.76,-0.72,-6.25
2014Q3,-82.91,3.38,3.14
2014Q2,20.98,1.41,8.5
2014Q1,,7.14,-8.39
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
