年季,應收帳款收現天數,存貨週轉天數,營運週轉天數,平均收現天數
2020Q3,44.15,53.65,97.81,0.0
2020Q2,47.45,60.04,107.5,0.0
2020Q1,84.03,61.0,145.03,0.0
2019Q4,44.66,29.56,74.21,66.24
2019Q3,53.05,50.27,103.32,0.0
2019Q2,41.77,45.69,87.46,0.0
2019Q1,72.17,68.95,141.12,0.0
2018Q4,45.96,30.32,76.27,89.9
2018Q3,58.54,48.7,107.24,0.0
2018Q2,66.06,48.83,114.89,0.0
2018Q1,94.54,41.39,135.93,0.0
2017Q4,67.71,33.4,101.11,101.1
2017Q3,90.93,58.3,149.23,0.0
2017Q2,95.91,48.29,144.2,0.0
2017Q1,90.02,31.86,121.89,0.0
2016Q4,64.44,28.45,92.89,112.65
2016Q3,87.71,54.71,142.42,0.0
2016Q2,81.78,42.62,124.4,0.0
2016Q1,106.29,40.07,146.36,0.0
2015Q4,70.68,26.01,96.69,123.31
2015Q3,78.6,42.47,121.07,0.0
2015Q2,91.39,54.32,145.71,0.0
2015Q1,137.15,59.88,197.04,0.0
2014Q4,77.04,25.84,102.88,117.36
2014Q3,96.97,36.68,133.65,0.0
2014Q2,62.24,34.2,96.44,0.0
2014Q1,103.36,48.13,151.49,0.0
2013Q4,58.32,38.89,97.21,107.98
2013Q3,65.86,76.43,142.29,0.0
2013Q2,56.58,59.89,116.47,0.0
2013Q1,49.51,62.89,112.4,0.0
