年季,稅前淨利,營業現金流量,投資現金流量,籌資現金流量,淨現金流量,自由現金流量
2020Q3,24227000.0,-64652000.0,-28382000.0,43271000.0,-49763000.0,-70229000.0
2020Q2,8113000.0,-42603000.0,59402000.0,-61788000.0,-44989000.0,-50267000.0
2020Q1,17462000.0,85565000.0,61223000.0,-43357000.0,103431000.0,84398000.0
2019Q4,16002000.0,75417000.0,-15594000.0,-117245000.0,-57422000.0,74222000.0
2019Q3,17605000.0,-10854000.0,-1559000.0,47811000.0,35398000.0,-15527000.0
2019Q2,13732000.0,-123129000.0,-5505000.0,127925000.0,-709000.0,-128047000.0
2019Q1,8965000.0,-73977000.0,6215000.0,-2245000.0,-70007000.0,-74711000.0
2018Q4,12412000.0,49651000.0,22470000.0,-3000.0,72118000.0,48807000.0
2018Q3,15021000.0,-66280000.0,2328000.0,-27985000.0,-91937000.0,-70116000.0
2018Q2,19809000.0,78601000.0,3467000.0,0.0,82068000.0,75379000.0
2018Q1,5469000.0,-118475000.0,-125783000.0,-121000.0,-244379000.0,-118748000.0
2017Q4,12697000.0,90943000.0,9737000.0,-4000.0,100676000.0,90038000.0
2017Q3,10728000.0,23694000.0,-2943000.0,-34970000.0,-14219000.0,18756000.0
2017Q2,13231000.0,16242000.0,-8134000.0,121000.0,8229000.0,7922000.0
2017Q1,7627000.0,-38065000.0,6330000.0,0.0,-31735000.0,-38155000.0
2016Q4,19732000.0,61504000.0,10071000.0,-3000.0,71572000.0,60850000.0
2016Q3,8616000.0,43427000.0,-6388000.0,-34982000.0,2057000.0,40229000.0
2016Q2,19489000.0,-60673000.0,4536000.0,-11000.0,-56148000.0,-64354000.0
2016Q1,8789000.0,20956000.0,-2810000.0,-2796000.0,15350000.0,18186000.0
2015Q4,26439000.0,116581000.0,-3518000.0,1264000.0,114327000.0,113798000.0
2015Q3,15101000.0,-10377000.0,-21583000.0,-34981000.0,-66941000.0,-14659000.0
2015Q2,15379000.0,-2748000.0,-150000.0,-1000.0,-2899000.0,-8840000.0
2015Q1,7613000.0,63334000.0,-6337000.0,3000.0,57000000.0,63058000.0
2014Q4,28689000.0,117980000.0,-10841000.0,-104954000.0,2185000.0,113781000.0
2014Q3,13540000.0,66334000.0,-3084000.0,-84424000.0,-21174000.0,58204000.0
2014Q2,332000.0,-68286000.0,-1247000.0,-24963000.0,-94496000.0,-72360000.0
2014Q1,9641000.0,73070000.0,-14007000.0,-15034000.0,44029000.0,69238000.0
2013Q4,30984000.0,57192000.0,43856000.0,-98243000.0,2805000.0,94733000.0
2013Q3,2832000.0,-85934000.0,34241000.0,-5681000.0,-57374000.0,-92662000.0
2013Q2,3676000.0,58549000.0,-31187000.0,-298000.0,27064000.0,53283000.0
2013Q1,346000.0,-173663000.0,-30861000.0,148240000.0,-56284000.0,-198778000.0
