年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,404219106.0,582768933.0,3.0,363752195.0,0.0,0.0,0.0
2017/12/31,305667155.0,491391082.0,2.62,278663962.0,0.0,0.0,0.0
2010/12/31,276334358.0,561326661.0,1.87,248617178.0,0.0,0.0,0.0
2009/12/31,,,1.8,239310653.0,0.0,0.0,0.0
2008/12/31,,,1.69,224686113.0,0.0,0.0,0.0
2001/12/31,,,,,,0.19,
2000/12/31,,,,,,0.51,
1999/12/31,,,,,,1.33,
1998/12/31,,,,,,2.0,
2011/12/31,276724396.0,561761439.0,1.9,252605689.0,0.0,0.0,0.0
