年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,1334795000.0,23.82,8.72,9.42,8.72
2020Q2,1326323000.0,24.79,9.53,11.02,8.57
2020Q1,1307761000.0,25.45,11.91,12.74,9.95
2019Q4,1583331000.0,24.96,9.35,9.79,7.76
2019Q3,1343946000.0,21.11,7.11,8.98,7.07
2019Q2,1201525000.0,25.41,10.12,10.89,8.82
2019Q1,1392630000.0,25.91,11.2,11.72,8.81
2018Q4,1306018000.0,30.93,11.23,11.72,9.27
2018Q3,1019661000.0,29.89,9.61,10.5,8.04
2018Q2,1018933000.0,29.35,10.44,11.44,9.12
2018Q1,1303830000.0,28.65,11.41,11.67,8.3
2017Q4,1052959000.0,30.42,7.86,8.41,6.87
2017Q3,1116252000.0,24.88,7.06,8.59,7.23
2017Q2,952064000.0,27.75,9.31,9.75,8.3
2017Q1,1079835000.0,23.48,8.08,8.03,6.82
2016Q4,1241029000.0,24.63,6.41,6.71,5.39
2016Q3,1095467000.0,24.8,8.5,9.77,8.77
2016Q2,909845000.0,29.83,8.83,9.73,7.77
2016Q1,976177000.0,26.14,7.4,7.82,6.76
2015Q4,1023517000.0,26.97,8.01,8.96,7.08
2015Q3,1241407000.0,25.09,6.4,7.43,5.92
2015Q2,1076157000.0,24.95,6.24,6.68,5.35
2015Q1,1061848000.0,24.31,6.58,6.99,6.09
2014Q4,1358196000.0,23.26,6.5,6.86,5.43
2014Q3,1257366000.0,25.24,9.19,8.23,6.56
2014Q2,936098000.0,26.94,6.05,6.67,5.71
2014Q1,861574000.0,30.49,7.31,7.97,6.74
2013Q4,967190000.0,25.4,6.6,2.82,0.08
2013Q3,887916000.0,31.23,7.23,14.55,12.83
2013Q2,926307000.0,32.4,9.24,9.98,8.23
2013Q1,870073000.0,33.95,10.09,10.62,8.73
