年季,股本,資本公積,保留盈餘
2020/09/30,331907000.0,397574000.0,671446000.0
2020/06/30,331907000.0,397574000.0,589985000.0
2020/03/31,331907000.0,397574000.0,829217000.0
2019/12/31,331907000.0,397574000.0,767338000.0
2019/09/30,331907000.0,397574000.0,706221000.0
2019/06/30,331917000.0,397859000.0,625221000.0
2019/03/31,331917000.0,397859000.0,826307000.0
2018/12/31,331917000.0,397859000.0,768074000.0
2018/09/30,331917000.0,397859000.0,713170000.0
2018/06/30,331917000.0,397859000.0,630932000.0
2018/03/31,331927000.0,397849000.0,867161000.0
2017/12/31,332072000.0,399549000.0,800916000.0
2017/09/30,332072000.0,399549000.0,737819000.0
2017/06/30,332257000.0,399485000.0,644128000.0
2017/03/31,332257000.0,401094000.0,916267000.0
2016/12/31,332417000.0,401962000.0,844798000.0
2016/09/30,332487000.0,401996000.0,798713000.0
2016/06/30,331237000.0,388393000.0,710217000.0
2016/03/31,331237000.0,388393000.0,873791000.0
2015/12/31,331237000.0,388393000.0,710334000.0
2015/09/30,331237000.0,388212000.0,640672000.0
2015/06/30,331117000.0,386262000.0,558494000.0
2015/03/31,331117000.0,386262000.0,684132000.0
2014/12/31,331197000.0,386182000.0,615588000.0
2014/09/30,331197000.0,386182000.0,543562000.0
2014/06/30,329897000.0,373344000.0,440943000.0
2014/03/31,329897000.0,373344000.0,554240000.0
2013/12/31,329897000.0,373344000.0,501975000.0
2013/09/30,324810000.0,338412000.0,430944000.0
2013/06/30,324992000.0,334232000.0,366055000.0
2013/03/31,324992000.0,334232000.0,450061000.0
