年季,流動比率,速動比率,利息保障倍數
2020Q3,208.44,208.44,384.32
2020Q2,178.06,178.06,196.47
2020Q1,231.16,231.16,263.1
2019Q4,217.69,217.69,203.04
2019Q3,225.24,225.24,270.6
2019Q2,186.85,186.85,247.84
2019Q1,241.45,241.45,145.94
2018Q4,232.18,232.18,0.0
2018Q3,252.46,252.46,0.0
2018Q2,197.25,197.25,0.0
2018Q1,280.57,280.57,0.0
2017Q4,262.72,262.72,0.0
2017Q3,266.36,266.36,0.0
2017Q2,200.05,200.05,0.0
2017Q1,288.67,288.67,0.0
2016Q4,281.07,281.07,0.0
2016Q3,299.66,299.66,0.0
2016Q2,230.72,230.72,0.0
2016Q1,306.75,306.75,0.0
2015Q4,230.73,230.73,0.0
2015Q3,233.18,233.18,0.0
2015Q2,196.72,196.72,0.0
2015Q1,260.19,260.19,0.0
2014Q4,237.79,237.79,0.0
2014Q3,243.57,243.57,0.0
2014Q2,204.03,204.03,0.0
2014Q1,268.68,268.68,10885.83
2013Q4,248.15,248.15,3487.41
2013Q3,240.19,240.19,2462.29
2013Q2,203.1,203.1,2244.46
2013Q1,256.75,256.75,1503.47
