年季,營業收入,毛利率,營業利益率,稅前純益率,獲利能力-純益率
2020/03/31,772390000.0,49.25,15.25,18.29,13.03
2019/12/31,3711840000.0,50.15,16.61,16.74,13.36
2019/09/30,2866030000.0,49.02,16.23,16.89,12.88
2019/06/30,1734830000.0,46.72,15.57,16.32,12.69
2019/03/31,815750000.0,51.99,23.37,24.19,20.59
2018/12/31,1045900000.0,69.77,-22.85,-23.84,-27.48
2018/09/30,672850000.0,78.01,-21.82,-23.71,-28.05
2018/06/30,424710000.0,80.37,-28.43,-26.98,-30.72
2018/03/31,187080000.0,81.35,-46.56,-45.42,-43.66
2017/12/31,860980000.0,83.02,-29.99,-29.46,-32.89
