月,月營收,月營收MOM,月營收QOQ,月營收YOY,累計月營收YOY
2020/04,1197807000.0,8.2%,11.27%,14.35%,10.37%
2020/03,1107034000.0,5.45%,15.58%,8.5%,8.96%
2020/02,1049785000.0,-2.48%,3.41%,13.89%,9.2%
2020/01,1076464000.0,12.38%,6.59%,4.98%,4.98%
2019/12,957845000.0,-5.64%,-8.22%,-5.97%,10.01%
2019/11,1015129000.0,0.518%,-5.11%,20.77%,11.61%
2019/10,1009899000.0,-3.24%,-5.14%,22.78%,10.79%
2019/09,1043688000.0,-2.45%,-3.1%,7.99%,9.63%
2019/08,1069848000.0,0.494%,1.5%,3.81%,9.84%
2019/07,1064585000.0,-1.16%,1.63%,9.1%,10.8%
