日期,月營收,月營收MOM,月營收YOY
2020/11/30,175901000.0,13.32,22.79
2020/10/31,155217000.0,-33.05,2.52
2020/09/30,231853000.0,68.55,75.41
2020/08/31,137552000.0,-20.7,-1.41
2020/07/31,173464000.0,-5.08,27.72
2020/06/30,182751000.0,40.17,15.46
2020/05/31,130372000.0,5.45,6.09
2020/04/30,123626000.0,-8.89,3.5
2020/03/31,135693000.0,22.17,0.04
2020/02/29,111062000.0,-26.52,-1.6
2020/01/31,151164000.0,-40.73,26.86
2019/12/31,255048000.0,78.05,11.85
2019/11/30,143244000.0,-5.38,12.76
2019/10/31,151395000.0,14.53,25.6
2019/09/30,132177000.0,-5.26,-20.67
2019/08/31,139528000.0,2.73,11.66
2019/07/31,135813000.0,-14.19,0.02
2019/06/30,158277000.0,28.79,23.02
2019/05/31,122886000.0,2.88,8.87
2019/04/30,119440000.0,-11.93,10.34
2019/03/31,135633000.0,20.15,19.47
2019/02/28,112877000.0,-5.26,8.77
2019/01/31,119150000.0,-47.74,4.86
2018/12/31,228008000.0,79.49,17.3
2018/11/30,127027000.0,5.39,14.32
2018/10/31,120530000.0,-27.66,6.32
2018/09/30,166623000.0,33.35,28.96
2018/08/31,124948000.0,-7.97,11.43
2018/07/31,135783000.0,5.53,25.16
2018/06/30,128656000.0,13.98,-1.71
2018/05/31,112868000.0,4.27,8.47
2018/04/30,108239000.0,-4.65,7.69
2018/03/31,113527000.0,9.4,18.76
2018/02/28,103771000.0,-8.66,8.28
2018/01/31,113621000.0,-41.54,4.34
2017/12/31,194373000.0,74.93,35.02
2017/11/30,111114000.0,-1.98,7.23
2017/10/31,113363000.0,-12.25,18.4
2017/09/30,129199000.0,15.22,28.08
2017/08/31,112130000.0,3.36,4.45
2017/07/31,108484000.0,-17.12,12.82
2017/06/30,130907000.0,25.8,17.63
2017/05/31,104054000.0,3.53,7.17
2017/04/30,100502000.0,5.13,2.65
2017/03/31,95589000.0,-0.24,2.66
2017/02/28,95827000.0,-11.99,11.37
2017/01/31,108892000.0,-24.35,-5.23
2016/12/31,143955000.0,38.92,-31.57
2016/11/30,103622000.0,8.23,-1.93
2016/10/31,95739000.0,-5.08,1.06
2016/09/30,100871000.0,-6.03,3.48
2016/08/31,107345000.0,11.64,7.81
2016/07/31,96152000.0,-13.59,-3.48
2016/06/30,111281000.0,14.61,-1.7
2016/05/31,97091000.0,-0.82,0.08
2016/04/30,97902000.0,5.15,-0.16
2016/03/31,93105000.0,8.21,5.56
2016/02/29,86037000.0,-25.12,-5.86
2016/01/31,114913000.0,-45.37,-2.8
2015/12/31,210383000.0,99.09,-16.22
2015/11/30,105672000.0,11.55,8.77
2015/10/31,94730000.0,-2.81,-6.0
2015/09/30,97476000.0,-2.09,-0.35
2015/08/31,99563000.0,-0.05,-1.44
2015/07/31,99621000.0,-12.0,7.74
2015/06/30,113206000.0,16.69,-11.95
2015/05/31,97012000.0,-1.07,2.23
2015/04/30,98064000.0,11.18,1.21
2015/03/31,88197000.0,-3.5,-12.57
2015/02/28,91401000.0,-22.69,2.11
2015/01/31,118229000.0,-52.92,22.92
2014/12/31,251134000.0,158.51,7.06
2014/11/30,97146000.0,-3.6,-10.32
2014/10/31,100778000.0,3.02,5.94
2014/09/30,97822000.0,-3.17,-7.58
2014/08/31,101027000.0,9.26,-10.37
2014/07/31,92461000.0,-28.08,1.14
2014/06/30,128578000.0,35.5,-43.91
2014/05/31,94889000.0,-2.06,5.2
2014/04/30,96885000.0,-3.95,1.68
2014/03/31,100879000.0,12.7,18.98
2014/02/28,89507000.0,-6.94,7.38
2014/01/31,96183000.0,-58.99,-56.0
2013/12/31,234571000.0,116.52,16.03
2013/11/30,108334000.0,13.88,6.54
2013/10/31,95125000.0,-10.13,-30.87
2013/09/30,105848000.0,-6.09,-26.59
2013/08/31,112719000.0,23.3,-35.18
2013/07/31,91417000.0,-60.12,5.08
2013/06/30,229252000.0,154.17,74.94
2013/05/31,90195000.0,-5.33,-69.63
2013/04/30,95281000.0,12.37,-0.42
2013/03/31,84786000.0,1.72,-50.1
2013/02/28,83349000.0,-61.87,-1.38
2013/01/31,218636000.0,,166.42
