date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-01-05,2468,1084000,14123500,12.8,13.1,0.3,260.0,13.15,12.8
2015-01-06,2468,301000,3877850,13.05,12.9,-0.2,109.0,13.05,12.75
2015-01-07,2468,708000,9238900,12.9,13.0,0.1,199.0,13.2,12.85
2015-01-08,2468,317001,4105312,13.1,12.85,-0.15,124.0,13.15,12.85
2015-01-09,2468,192000,2471950,12.95,12.9,0.05,73.0,12.95,12.75
2015-01-12,2468,468331,6092803,12.9,13.0,0.1,127.0,13.15,12.9
2015-01-13,2468,552000,7228700,13.15,12.95,-0.05,169.0,13.3,12.95
2015-01-14,2468,202000,2610250,13.05,13.0,0.05,85.0,13.05,12.85
2015-01-15,2468,181000,2356250,13.0,13.05,0.05,79.0,13.1,12.95
2015-01-16,2468,265000,3444700,13.05,13.0,-0.05,79.0,13.05,12.9
2015-01-19,2468,264000,3432850,13.1,13.0,0.0,63.0,13.1,12.9
2015-01-20,2468,714409,9401878,13.0,13.15,0.15,164.0,13.25,13.0
2015-01-21,2468,1530030,20796005,13.2,13.6,0.45,560.0,13.85,13.15
2015-01-22,2468,794032,10819235,13.6,13.55,-0.05,262.0,13.8,13.4
2015-01-23,2468,404000,5490050,13.55,13.55,0.0,113.0,13.7,13.5
2015-01-26,2468,218000,2948600,13.55,13.6,0.05,77.0,13.6,13.45
2015-01-27,2468,377350,5176892,13.6,13.6,0.0,115.0,13.9,13.6
2015-01-28,2468,179000,2427000,13.55,13.65,0.05,59.0,13.65,13.5
2015-01-29,2468,346000,4640300,13.65,13.4,-0.25,100.0,13.65,13.2
2015-01-30,2468,281722,3787102,13.4,13.45,0.05,75.0,13.5,13.35
2015-02-02,2468,220000,2960050,13.45,13.4,-0.05,78.0,13.55,13.25
2015-02-03,2468,135000,1807650,13.35,13.4,0.0,60.0,13.45,13.3
2015-02-04,2468,110462,1478394,13.55,13.4,0.0,38.0,13.55,13.3
2015-02-05,2468,92161,1230441,13.4,13.25,-0.15,36.0,13.4,13.2
2015-02-06,2468,85000,1124550,13.2,13.25,0.0,33.0,13.3,13.2
2015-02-09,2468,78050,1034354,13.4,13.25,0.0,33.0,13.4,13.2
2015-02-10,2468,208269,2756836,13.35,13.15,-0.1,61.0,13.35,13.15
2015-02-11,2468,314100,4066110,13.15,12.7,-0.45,94.0,13.2,12.65
2015-02-12,2468,75155,964657,12.7,12.85,0.15,41.0,12.9,12.7
