時間,開,高,低,收,漲跌,量(張)
12:40,13.65,13.65,13.65,13.65,▽0.10,1
11:50,13.65,13.65,13.65,13.65,▽0.10,1
11:18,13.75,13.75,13.75,13.75,0.00,1
11:17,13.65,13.65,13.65,13.65,▽0.10,1
11:16,13.70,13.70,13.70,13.70,▽0.05,2
11:07,13.60,13.60,13.60,13.60,▽0.15,1
11:06,13.70,13.70,13.70,13.70,▽0.05,1
10:12,13.75,13.75,13.75,13.75,0.00,1
10:11,13.60,13.60,13.60,13.60,▽0.15,8
10:10,13.60,13.60,13.60,13.60,▽0.15,3
09:30,13.70,13.70,13.70,13.70,▽0.05,2
09:20,13.70,13.70,13.70,13.70,▽0.05,2
09:12,13.70,13.70,13.70,13.70,▽0.05,2
09:11,13.70,13.70,13.70,13.70,▽0.05,1
09:10,13.75,13.75,13.55,13.55,▽0.20,12
09:01,13.90,13.90,13.90,13.90,△0.15,30
