標題,來源,日期,網址
後疫時代5G萬物聯網 資安概念股商機大增,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E5%BE%8C%E7%96%AB%E6%99%82%E4%BB%A35g%E8%90%AC%E7%89%A9%E8%81%AF%E7%B6%B2-%E8%B3%87%E5%AE%89%E6%A6%82%E5%BF%B5%E8%82%A1%E5%95%86%E6%A9%9F%E5%A4%A7%E5%A2%9E-021200662.html
《電腦設備》桃園航空城智慧應用 研揚助規畫建議,Yahoo奇摩新聞,2020年12月2日,https://tw.stock.yahoo.com/news/%E9%9B%BB%E8%85%A6%E8%A8%AD%E5%82%99-%E6%A1%83%E5%9C%92%E8%88%AA%E7%A9%BA%E5%9F%8E%E6%99%BA%E6%85%A7%E6%87%89%E7%94%A8-%E7%A0%94%E6%8F%9A%E5%8A%A9%E8%A6%8F%E7%95%AB%E5%BB%BA%E8%AD%B0-234358833.html
《通信網路》中華電協助法務部 打造全台首座整合型智慧監獄,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E9%80%9A%E4%BF%A1%E7%B6%B2%E8%B7%AF-%E4%B8%AD%E8%8F%AF%E9%9B%BB%E5%8D%94%E5%8A%A9%E6%B3%95%E5%8B%99%E9%83%A8-%E6%89%93%E9%80%A0%E5%85%A8%E5%8F%B0%E9%A6%96%E5%BA%A7%E6%95%B4%E5%90%88%E5%9E%8B%E6%99%BA%E6%85%A7%E7%9B%A3%E7%8D%84-090613060.html
《產業》台灣精品獎揭曉 252家企業獲殊榮,Yahoo奇摩股市,2020年11月25日,https://tw.stock.yahoo.com/news/%E7%94%A2%E6%A5%AD-%E5%8F%B0%E7%81%A3%E7%B2%BE%E5%93%81%E7%8D%8E%E6%8F%AD%E6%9B%89-252%E5%AE%B6%E4%BC%81%E6%A5%AD%E7%8D%B2%E6%AE%8A%E6%A6%AE-003307345.html
【公告】新華經櫃買中心同意自109年12月1日起恢復交易,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%96%B0%E8%8F%AF%E7%B6%93%E6%AB%83%E8%B2%B7%E4%B8%AD%E5%BF%83%E5%90%8C%E6%84%8F%E8%87%AA109%E5%B9%B412%E6%9C%881%E6%97%A5%E8%B5%B7%E6%81%A2%E5%BE%A9%E4%BA%A4%E6%98%93-120147732.html
直擊台灣第一座智慧監獄！連電玩都能網購，難道「日子過太好」？,Yahoo奇摩股市,2020年12月3日,https://tw.stock.yahoo.com/news/%E7%9B%B4%E6%93%8A%E5%8F%B0%E7%81%A3%E7%AC%AC-%E5%BA%A7%E6%99%BA%E6%85%A7%E7%9B%A3%E7%8D%84-%E9%80%A3%E9%9B%BB%E7%8E%A9%E9%83%BD%E8%83%BD%E7%B6%B2%E8%B3%BC-%E9%9B%A3%E9%81%93-%E6%97%A5%E5%AD%90%E9%81%8E%E5%A4%AA%E5%A5%BD-100000959.html
搶在12月1日前返台 有人跑9趟醫院,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E6%90%B6%E5%9C%A812%E6%9C%881%E6%97%A5%E5%89%8D%E8%BF%94%E5%8F%B0-%E6%9C%89%E4%BA%BA%E8%B7%919%E8%B6%9F%E9%86%AB%E9%99%A2-201000295.html?bcmt=1
性別平等獲認證 富邦金立典範,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E6%80%A7%E5%88%A5%E5%B9%B3%E7%AD%89%E7%8D%B2%E8%AA%8D%E8%AD%89-%E5%AF%8C%E9%82%A6%E9%87%91%E7%AB%8B%E5%85%B8%E7%AF%84-201000774.html?bcmt=1
頻頻前進台北 林右昌鴨子划水,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E9%A0%BB%E9%A0%BB%E5%89%8D%E9%80%B2%E5%8F%B0%E5%8C%97-%E6%9E%97%E5%8F%B3%E6%98%8C%E9%B4%A8%E5%AD%90%E5%88%92%E6%B0%B4-201000916.html?bcmt=1
每人GDP破3萬美金 王浩宇歸功蔡執政 網：別自欺欺人了,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E6%AF%8F%E4%BA%BAgdp%E7%A0%B43%E8%90%AC%E7%BE%8E%E9%87%91-%E7%8E%8B%E6%B5%A9%E5%AE%87%E6%AD%B8%E5%8A%9F%E8%94%A1%E5%9F%B7%E6%94%BF-%E7%B6%B2-%E5%88%A5%E8%87%AA%E6%AC%BA%E6%AC%BA%E4%BA%BA%E4%BA%86-000303269.html?bcmt=1
