open,close,Trading_turnover,high,low
34.31,34.21,2382.74,34.79,33.81
34.28,34.18,2379.05,34.75,33.77
34.15,34.05,2365.87,34.62,33.65
33.95,33.85,2344.16,34.41,33.45
33.69,33.59,2316.76,34.15,33.19
33.4,33.3,2286.4,33.86,32.91
33.1,33.0,2255.25,33.55,32.62
32.81,32.71,2224.93,33.26,32.33
32.54,32.44,2196.63,32.98,32.07
32.29,32.2,2171.41,32.73,31.83
32.08,31.99,2149.75,32.52,31.62
31.9,31.81,2131.4,32.34,31.44
31.74,31.64,2114.52,32.17,31.28
31.58,31.48,2097.9,32.0,31.12
31.42,31.33,2082.07,31.85,30.97
31.28,31.18,2067.23,31.7,30.83
31.14,31.05,2053.37,31.56,30.7
31.01,30.92,2040.36,31.43,30.57
30.89,30.8,2028.09,31.31,30.45
30.78,30.69,2016.5,31.2,30.34
30.67,30.58,2005.49,31.09,30.24
30.57,30.48,1995.0,30.98,30.14
30.47,30.38,1985.0,30.88,30.04
30.38,30.29,1975.44,30.79,29.95
30.29,30.2,1966.3,30.7,29.86
30.2,30.11,1957.55,30.61,29.78
30.12,30.03,1949.15,30.53,29.7
30.04,29.95,1941.08,30.45,29.62
29.97,29.88,1933.31,30.37,29.55
29.89,29.8,1925.83,30.3,29.47
